stress_id,timestamp,neighborhood,ward,pm25,pm10,temperature_celsius,humidity_percent,flooding_risk,drainage_stress,garbage_overflow_reports,noise_pollution_db,tree_cover_percent,heat_risk_level,waterlogging_reports,environmental_score,latitude,longitude
41cf6944-e683-41b3-85f0-b6c5ef673b17,2026-06-05 19:20:50 UTC,Alipore,74,172.5,246.7,34.7,72.0,1.89,2.87,2,71.4,32.0,Moderate,0,7.1,22.527729,88.332158
b178c9d4-1209-4b54-a32c-9b2b285fc6e0,2026-06-05 03:44:16 UTC,Lake Market,87,143.4,197.8,33.3,77.6,1.25,3.5,0,63.2,16.0,Moderate,0,6.86,22.508131,88.350327
cd914e6a-c185-475a-8b2f-9abdf9a4aa98,2026-04-03 10:08:11 UTC,Jadavpur,99,93.5,131.4,39.3,52.7,1.61,2.44,0,77.6,18.0,Extreme,0,7.29,22.504594,88.374246
b0659040-c1f0-482a-b93a-8ea6df007dec,2026-04-17 19:28:40 UTC,Shyambazar,10,139.6,191.3,36.8,49.0,1.05,1.48,3,74.4,9.0,High,0,6.54,22.60085,88.368139
4eb8e146-ed10-40f9-a527-320c5cf6d126,2026-04-11 03:08:52 UTC,Jadavpur,93,91.3,119.3,36.6,49.1,1.19,3.44,1,61.7,18.0,High,0,5.73,22.498064,88.374866
5b92edbe-99e1-407d-aa0b-bf8d60cc82fb,2026-04-02 23:38:58 UTC,Bowbazar,47,119.7,170.0,36.4,45.7,1.83,2.91,1,72.8,7.0,High,0,6.58,22.565161,88.358993
60054947-5454-4d2e-952c-dca34aa7281f,2026-04-29 12:31:22 UTC,Gariahat,85,174.7,269.7,38.4,45.7,0.86,2.86,3,70.8,10.0,High,0,7.57,22.51583,88.374759
8aa34bfd-d42c-4815-be4a-d3695b1e239a,2026-06-28 16:10:20 UTC,Jadavpur,93,129.7,170.9,36.3,74.6,0.09,1.91,3,67.4,18.0,High,0,6.15,22.504296,88.369113
d942d950-50ec-4690-8015-d924e59ebcdb,2026-06-07 02:59:13 UTC,Howrah,16,152.8,236.8,33.7,79.4,1.72,1.07,4,71.0,6.5,Moderate,0,6.67,22.585837,88.328509
b7db71c2-3383-4dbf-9b54-feb042dc56c4,2026-06-19 01:38:30 UTC,Salt Lake,33,155.4,222.8,37.3,72.7,1.74,2.24,1,59.6,28.0,High,0,6.41,22.578044,88.42899
cd69fbe2-57bd-4d9a-a062-5847e4e02c46,2026-05-07 09:32:59 UTC,Jadavpur,93,28.7,33.0,27.4,92.7,9.57,7.52,4,74.1,18.0,Low,8,5.95,22.494119,88.363337
753c3fc2-fadf-4d05-866b-34f6c9224b86,2026-03-12 07:13:16 UTC,Bowbazar,48,112.8,156.9,30.9,65.9,1.08,0.55,0,73.4,7.0,Moderate,0,5.75,22.569345,88.357054
b94bbff9-aba8-4815-9b50-e41e293ee344,2026-07-02 17:41:02 UTC,Bowbazar,47,159.0,201.0,34.2,66.0,0.42,2.86,3,83.9,7.0,Moderate,0,7.58,22.565809,88.354434
4386547e-fc71-4455-8957-cc307b324d81,2026-03-24 00:24:54 UTC,Gariahat,86,119.9,186.5,29.5,69.7,1.27,3.37,0,70.5,10.0,Low,0,6.62,22.519431,88.373175
15c18698-d7b4-46c3-a412-000c1cfdcc33,2026-06-10 06:30:20 UTC,Gariahat,86,21.2,24.9,29.1,96.1,8.48,8.49,4,72.8,10.0,Low,18,6.23,22.520806,88.365739
ba1fb5df-5f0b-4183-aa03-9e93c219ef58,2026-03-30 05:27:48 UTC,Ballygunge,72,98.8,124.1,34.4,63.4,1.77,1.26,3,68.7,20.0,Moderate,0,5.33,22.5238,88.363872
f554d675-7c3d-4cbd-9eb5-c63cebcd3c5b,2026-04-19 21:12:20 UTC,Ballygunge,72,118.9,153.7,35.9,54.8,1.19,3.29,4,67.8,20.0,High,0,6.32,22.528223,88.367477
220455e1-bf0a-416f-9f0f-e20476a04917,2026-06-19 21:26:06 UTC,Tangra,58,122.4,180.9,34.4,76.2,1.09,3.09,1,65.3,9.5,Moderate,0,6.49,22.546645,88.385588
565fbc7c-ad32-41ac-9725-808cdee24741,2026-07-02 04:31:35 UTC,Lake Market,90,178.8,262.0,29.9,65.6,1.24,2.49,1,63.1,16.0,Low,0,7.27,22.513133,88.346406
a46fcede-ae77-4d83-9a86-8d7dd09b7635,2026-03-31 05:43:49 UTC,Behala,120,149.7,190.2,31.2,67.7,1.99,1.46,2,68.7,15.0,Moderate,0,6.51,22.49304,88.319536
534152c1-2715-4c90-89d1-ca512b219fa3,2026-06-23 03:23:39 UTC,Tangra,58,85.4,115.0,34.7,78.8,0.83,2.11,2,67.8,9.5,Moderate,0,5.51,22.550003,88.390038
1839edcd-dd71-4806-b723-122d2e85dde6,2026-05-08 22:01:18 UTC,Tangra,57,178.9,270.0,40.4,53.1,1.26,3.06,3,64.7,9.5,Extreme,0,9.1,22.550335,88.391586
a99afc59-34b8-420b-b05a-326b2212d5fc,2026-04-12 08:27:46 UTC,Jadavpur,93,122.7,191.1,36.7,53.8,0.72,0.64,5,74.1,18.0,High,0,5.77,22.501963,88.370893
917df50c-cbd0-4d32-8ebe-be3f019144fd,2026-06-03 02:39:06 UTC,Gariahat,85,158.1,227.7,37.4,76.8,0.94,2.81,3,69.8,10.0,High,0,7.2,22.518178,88.369534
731e52df-85e6-4fc4-923c-19e029ee2096,2026-04-02 07:24:21 UTC,Bowbazar,47,96.9,122.7,38.7,48.4,0.33,2.55,2,72.7,7.0,High,0,6.02,22.566315,88.361945
dc9f98f3-d46e-4446-9b58-9a65c31023fd,2026-06-26 06:09:46 UTC,Ballygunge,72,175.7,251.2,35.8,70.6,0.69,1.95,0,65.5,20.0,High,0,7.01,22.533213,88.367662
b13d0258-2a89-48f9-a916-c9d6cf5fc589,2026-04-07 19:35:48 UTC,New Town,102,176.0,231.5,39.2,53.4,0.32,2.28,2,80.6,22.0,Extreme,0,8.88,22.592845,88.450056
1e0e87af-6f76-48be-a65a-471d7c929c13,2026-05-11 10:09:46 UTC,Salt Lake,28,122.8,169.9,39.5,49.9,0.48,1.04,3,68.2,28.0,Extreme,0,7.07,22.565712,88.417491
1d3057cf-1aed-4d4b-956e-3b538fc471a9,2026-06-29 23:24:35 UTC,Shyambazar,11,25.8,32.5,24.6,90.8,7.44,8.96,4,65.2,9.0,Low,9,6.33,22.602957,88.373089
c7433791-89bb-4132-ae8c-fa7521296b71,2026-06-01 00:11:37 UTC,Jadavpur,99,105.6,127.5,34.0,73.4,1.95,2.36,0,65.4,18.0,Moderate,0,5.77,22.501163,88.365246
105e357e-4c98-43cf-b67f-c957a62f6ddc,2026-03-23 12:51:14 UTC,Ballygunge,72,89.3,123.1,33.9,68.9,1.95,2.22,3,63.1,20.0,Moderate,0,5.31,22.529767,88.368036
ea7e59b7-8d0f-4944-87ec-ffa9a963c93e,2026-06-26 01:21:20 UTC,Ballygunge,72,110.7,141.6,35.4,76.4,0.68,0.82,0,67.3,20.0,High,0,5.41,22.532637,88.363884
04cf4e60-f530-4429-9ded-3fece26c789b,2026-03-10 15:42:38 UTC,Kasba,91,113.8,152.1,32.7,63.0,0.22,2.93,1,65.7,12.5,Moderate,0,6.22,22.522313,88.382409
6c343215-7474-4933-8ada-999be05ff2fe,2026-04-17 00:18:14 UTC,Tangra,58,134.8,209.0,38.6,51.8,1.09,3.44,2,61.0,9.5,High,0,6.76,22.554809,88.382142
fa2fd1ee-eb8d-43ea-9062-d144d2a8b49a,2026-06-13 08:52:22 UTC,Tangra,57,108.0,161.5,33.0,72.8,1.9,2.24,4,73.7,9.5,Moderate,0,6.12,22.554769,88.387043
e3ea37f0-fdef-4267-8a2e-46c21f12cf3e,2026-04-07 00:02:23 UTC,Gariahat,86,84.6,108.2,37.6,47.2,1.02,1.72,1,72.7,10.0,High,0,5.46,22.518254,88.374421
b9ee50db-2ce7-4ff7-bbf9-802b61ba96e6,2026-03-11 11:01:05 UTC,Jadavpur,99,167.0,223.3,30.3,62.7,0.56,1.51,1,73.6,18.0,Moderate,0,6.9,22.496003,88.369962
c2e05a18-1b29-4e50-b080-65fe398d975e,2026-03-24 04:27:03 UTC,Shyambazar,11,98.6,121.6,31.0,66.3,1.38,1.45,1,67.3,9.0,Moderate,0,5.57,22.596869,88.365666
103823c0-8a3c-4a32-8040-3e65501feb9b,2026-06-16 15:17:22 UTC,Salt Lake,33,113.1,145.6,33.1,75.9,0.06,3.45,0,57.5,28.0,Moderate,0,5.89,22.591175,88.431566
e869b660-176d-4367-ab9c-14da3dea94cf,2026-07-03 05:04:55 UTC,Jadavpur,99,177.2,250.4,31.5,65.6,0.13,2.05,2,63.7,18.0,Moderate,0,7.07,22.49604,88.373523
0c6d073f-216c-42f3-bca7-a95fc15978c8,2026-05-25 17:00:59 UTC,Jadavpur,92,177.1,267.7,37.8,48.5,0.15,3.4,0,78.7,18.0,High,0,7.78,22.49382,88.372551
dcdc333b-4d4a-4393-b795-dc3a20ea3eef,2026-04-07 15:31:53 UTC,Park Circus,65,137.0,206.6,39.1,48.0,0.36,1.86,3,71.5,8.0,Extreme,0,8.07,22.538688,88.374103
